book_title,chapter,emotion,sentiment
Harry Potter and the Philosopher's Stone,12,Disgust,5.47245530828165e-4
Harry Potter and the Philosopher's Stone,12,Fear,5.244436337103246e-4
Harry Potter and the Philosopher's Stone,12,Joy,7.068588106530464e-4
Harry Potter and the Philosopher's Stone,12,Sadness,0.0015049252097774535
Harry Potter and the Philosopher's Stone,12,Surprise,4.7883983947464426e-4
Harry Potter and the Philosopher's Stone,12,Trust,8.892739875957681e-4
Harry Potter and the Philosopher's Stone,13,Anger,0.001824960753532182
Harry Potter and the Philosopher's Stone,13,Anticipation,9.811616954474099e-4
Harry Potter and the Philosopher's Stone,13,Disgust,5.10204081632653e-4
Harry Potter and the Philosopher's Stone,13,Fear,8.045525902668759e-4
Harry Potter and the Philosopher's Stone,13,Joy,6.671899529042387e-4
Harry Potter and the Philosopher's Stone,13,Sadness,0.0016875981161695447
Harry Potter and the Philosopher's Stone,13,Surprise,4.905808477237049e-4
Harry Potter and the Philosopher's Stone,13,Trust,9.419152276295134e-4
Harry Potter and the Philosopher's Stone,14,Anger,0.0010281385281385282
Harry Potter and the Philosopher's Stone,14,Anticipation,7.395382395382396e-4
Harry Potter and the Philosopher's Stone,14,Disgust,1.984126984126984e-4
Harry Potter and the Philosopher's Stone,14,Fear,0.0010281385281385282
Harry Potter and the Philosopher's Stone,14,Joy,6.132756132756134e-4
Harry Potter and the Philosopher's Stone,14,Sadness,0.0013347763347763349
Harry Potter and the Philosopher's Stone,14,Surprise,3.427128427128427e-4
Harry Potter and the Philosopher's Stone,14,Trust,8.297258297258297e-4
Harry Potter and the Philosopher's Stone,15,Anger,0.001720747295968535
Harry Potter and the Philosopher's Stone,15,Anticipation,8.235004916420846e-4
Harry Potter and the Philosopher's Stone,15,Disgust,6.760078662733529e-4
Harry Potter and the Philosopher's Stone,15,Fear,0.001327433628318584
Harry Potter and the Philosopher's Stone,15,Joy,4.916420845624386e-4
Harry Potter and the Philosopher's Stone,15,Sadness,0.0018928220255653883
Harry Potter and the Philosopher's Stone,15,Surprise,5.285152409046215e-4
Harry Potter and the Philosopher's Stone,15,Trust,9.218289085545724e-4
Harry Potter and the Philosopher's Stone,16,Anger,0.0015096618357487923
Harry Potter and the Philosopher's Stone,16,Anticipation,6.817827645317126e-4
Harry Potter and the Philosopher's Stone,16,Disgust,3.2141187470780734e-4
Harry Potter and the Philosopher's Stone,16,Fear,8.376188249961041e-4
Harry Potter and the Philosopher's Stone,16,Joy,4.285491662770766e-4
Harry Potter and the Philosopher's Stone,16,Sadness,0.0015291413433068412
